2024-04-22 23:12:49,072 - INFO - ***STARTING***
2024-04-22 23:14:29,044 - INFO - ***STARTING***
2024-04-22 23:14:30,770 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:15:40,755 - INFO - ***STARTING***
2024-04-22 23:15:42,286 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:19:33,288 - INFO - ***STARTING***
2024-04-22 23:19:35,438 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:45:35,191 - INFO - Iteration: 17200, PSNR: 28.456132888793945
2024-04-22 23:45:45,061 - INFO - Iteration: 17300, PSNR: 26.156797409057617
2024-04-22 23:45:54,725 - INFO - Iteration: 17400, PSNR: 28.36992645263672
2024-04-22 23:46:04,019 - INFO - Iteration: 17500, PSNR: 28.55525016784668
2024-04-22 23:46:13,371 - INFO - Iteration: 17600, PSNR: 28.94045066833496
2024-04-22 23:46:22,576 - INFO - Iteration: 17700, PSNR: 28.899106979370117
2024-04-22 23:46:31,854 - INFO - Iteration: 17800, PSNR: 28.34040641784668
2024-04-22 23:46:41,308 - INFO - Iteration: 17900, PSNR: 28.651222229003906
2024-04-22 23:46:50,476 - INFO - Iteration: 18000, PSNR: 28.521947860717773
2024-04-22 23:46:59,890 - INFO - Iteration: 18100, PSNR: 28.557233810424805
2024-04-22 23:47:09,333 - INFO - Iteration: 18200, PSNR: 28.410869598388672
2024-04-22 23:47:18,585 - INFO - Iteration: 18300, PSNR: 27.930313110351562
2024-04-22 23:47:27,584 - INFO - Iteration: 18400, PSNR: 26.21696662902832
2024-04-22 23:47:37,059 - INFO - Iteration: 18500, PSNR: 28.269981384277344
2024-04-22 23:47:46,452 - INFO - Iteration: 18600, PSNR: 28.70163917541504
2024-04-22 23:47:55,733 - INFO - Iteration: 18700, PSNR: 28.757875442504883
2024-04-22 23:48:05,042 - INFO - Iteration: 18800, PSNR: 28.19866180419922
2024-04-22 23:48:14,186 - INFO - Iteration: 18900, PSNR: 28.569488525390625
2024-04-22 23:48:23,683 - INFO - Iteration: 19000, PSNR: 28.81377410888672
2024-04-22 23:48:33,093 - INFO - Iteration: 19100, PSNR: 28.537113189697266
2024-04-22 23:48:42,165 - INFO - Iteration: 19200, PSNR: 28.881044387817383
2024-04-22 23:48:51,442 - INFO - Iteration: 19300, PSNR: 28.511640548706055
2024-04-22 23:49:00,832 - INFO - Iteration: 19400, PSNR: 28.78734588623047
2024-04-22 23:49:10,368 - INFO - Iteration: 19500, PSNR: 28.81694793701172
2024-04-22 23:49:20,058 - INFO - Iteration: 19600, PSNR: 27.678346633911133
2024-04-22 23:49:29,544 - INFO - Iteration: 19700, PSNR: 27.290191650390625
2024-04-22 23:49:38,211 - INFO - Iteration: 19800, PSNR: 28.707378387451172
2024-04-22 23:49:46,817 - INFO - Iteration: 19900, PSNR: 29.1355037689209
2024-04-22 23:49:56,038 - INFO - Processed model with 4 early and 4 late layers
2024-04-22 23:49:56,038 - INFO - Saving losses
2024-04-22 23:49:56,040 - INFO - Saving model
2024-04-22 23:49:56,057 - INFO - Saving optimizer
2024-04-22 23:49:56,077 - INFO - DONE!
2024-04-22 23:49:56,087 - INFO - ***FINISHED***
